INDICATOR,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_VALUE_WINS
SPC_17_3_1,NC,2007,417.45346,348.74922
SPC_17_3_1,NC,2008,1746.36856,348.74922
SPC_17_3_1,NC,2009,1182.29568,348.74922
SPC_17_3_1,NC,2010,1439.085,348.74922
SPC_17_3_1,NC,2011,1715.02523,348.74922
SPC_17_3_1,NC,2012,2831.45011,348.74922
SPC_17_3_1,NC,2013,2166.81215,348.74922
SPC_17_3_1,NC,2014,1757.03585,348.74922
SPC_17_3_1,NC,2015,1209.64418,348.74922
SPC_17_3_1,NC,2016,414.17602,348.74922
SPC_17_3_1,NC,2017,494.94912,348.74922
SPC_17_3_1,NC,2018,348.74922,348.74922
SPC_17_3_1,NC,2019,413.34499,348.74922
SPC_16_6_1,WS,2007,101.3,101.3
SPC_16_6_1,WS,2008,110.4,110.4
SPC_16_6_1,WS,2009,110.9,110.9
SPC_16_6_1,WS,2010,98.1,98.1
SPC_16_6_1,WS,2011,103.5,103.5
SPC_16_6_1,WS,2012,97.2,97.2
SPC_16_6_1,WS,2013,93.6,93.6
SPC_16_6_1,WS,2014,93.3,93.3
SPC_16_6_1,WS,2015,98.4,98.4
SPC_16_6_1,WS,2016,96,96
SPC_16_6_1,WS,2017,97,97
SPC_16_6_1,WS,2018,94.9,94.9
SPC_16_6_1,WS,2019,95.6,95.6
SPC_16_6_1,WS,2020,99.9,99.9
SPC_16_6_1,WS,2021,84.4,84.4
SL_TLF_UEM,KI,2019,26,26
EG_ACS_ELEC,NR,2016,99.2,99.2
EG_ACS_ELEC,NR,2017,99.9,99.9
EG_ACS_ELEC,NR,2018,99.9,99.9
EG_ACS_ELEC,NR,2019,100,100
EG_ACS_ELEC,NR,2020,100,100
EG_ACS_ELEC,NR,2023,99.8,99.8
SL_EMP_EARN,TO,2018,20.9,20.9
SL_EMP_EARN,TO,2021,16.95,16.95
SL_TLF_UEM,WS,2013,1.5,1.5
SI_POV_NAHC,PW,2013,18.6,18.6
SI_POV_NAHC,KI,2019,26.3,26.3
SL_EMP_EARN,TO,2018,12.76,12.76
SL_EMP_EARN,TO,2021,17.13,17.13
SI_POV_NAHC,KI,2019,27.7,27.7
SI_POV_DAY1,MH,2019,1,1
SL_EMP_EARN,MH,2019,3.47,3.47
SL_TLF_UEM,KI,2019,4.2,4.2
SL_TLF_UEM,KI,2019,22.2,22.2
SI_POV_NAHC,PW,2013,17.1,17.1
SL_EMP_EARN,CK,2019,10.09,10.09
SL_TLF_NEET,NU,2016,2.9,2.9
DT_TDS_DECT,WS,1977,17.52,17.52
DT_TDS_DECT,WS,1978,27.27,27.27
DT_TDS_DECT,WS,1979,18.52,18.52
DT_TDS_DECT,WS,1980,20.68,20.68
DT_TDS_DECT,WS,1981,25.61,25.61
DT_TDS_DECT,WS,1982,18.34,18.34
DT_TDS_DECT,WS,1983,19.37,19.37
DT_TDS_DECT,WS,1984,21.03,21.03
DT_TDS_DECT,WS,1985,27.92,27.92
DT_TDS_DECT,WS,1986,32.31,32.31
